,0
55,30.12.21 вечером я начал переносить данные на свой новый смартфон
56,"Банк привлёк самыми удобными условиями по накопительному счёту - в июле ставка была сопоставима по вкладам, где выплата в конце срока, отсутсвие капитализации и большая длительность Здесь же ещё увеличивают ставку для активных пользователей карты..."
57,Добрый вечер
58,"В начале июня попытался оформить здесь дебет в приложении, но получил отказ, без объяснения причин, попытался сделать через сайт - результат один, мне отказывали"
59,"Решила переоткрыть свой вклад на новых условиях, что бы не ехать в отделение"
60,"Стал клиентом МКБ почти десяток лет назад, совершенно случайно: их банкомат был в магазине рядом с домом в Долгопрудном, куда я тогда переехал жить"
61,Мне нужно получить справку из банка с подтверждением суммы на банковском счете в оригинальном виде
62,Добрый день! Контакт центр Сбербанка создали обращение
63,"Не могу войти в мобильный банк в течение получаса, нужно сделать срочную оплату"
64,В конце августа решила воспользоваться услугой от домклик и направить документы на распоряжением материнским капиталом на погашение части ипотеки напрямую через банк электронно
65,"16.08 я получила инвойс из Швейцарского банка, на оплату мне выделили 10 дней"
66,Несколько лет в ОТП как ИП и как физ.лицо
67,Являюсь клиентом данного банка
68,"Третий год, пользуюсь банком, всё устраивает, были разногласия, но всё урегулировали оперативно быстро и без затрат.."
69,Здравствуйте.Не получается самостоятельно зарегистрировать интернет-банк через форму саморегистрации на офф
70,Пишу отзыв об оперативной работе технической поддержки
71,"По моему мнению чат банка работает не для решения проблемы клиента, а чтобы он отстал"
72,Услугами банка я пользуюсь более 18 лет
73,"на 28 февраля были заказаны денежные средства в офисе 7701 (Румянцево) в долларах и евро, купленные более года назад и находящиеся до этого на брокерском счете"
74,"Обратился в отделение банка Краснополянский пр., 2, Лобня, Россия ТЦ Поворот   с заявлением на снятие 400 USD, которые у меня лежат на простом счете довольно давно"
75,"Отношение банка к премиальным клиентам и придумывание условий на ходу из воздуха, которые не соответствуют заявленной информации"
76,Изначально хочу поблагодарить администрацию ЮMoney за то что они быстро решили мою проблему по номеру обращения — 
77,Я попросил техподов – я не смог найти кнопку закрыть счет и попросил закрыть
78,"Здравствуйте, сегодня произошла очень неприятная ситуация"
79,"Никогда не думала, что буду писать негатив про ВТБ"
80,"21 марта 2022 волею судеб пришлось столкнуться с банкоматом (N 377190) этого Банка, который присвоил мои личные денежные средства, не выдав сдачи"
81,"27.09 приходил открыть текущий счёт для оплаты страховки, попал на обслуживание к сотруднице - Д-ко Натальи"
82,"Добрый день, ранее я являлась зарплатным клиентом вашео банка, но уже в январе 2022 года все счета и продукты вашего банка у меня были закрыты"
83,"Худший банк из тех, с которыми пришлось взаимодействовать"
84,"Обновили сайт, сделали ещё более кривым, чем было"
85,"ЦБ РФ, Генеральной прокуратуре и иным органам, которые курируют банковский сектор, необходимо обратить особое внимание на эту финансовую организацию, ибо невозможно назвать это банком"
86,"Решил сделать вклад, в связи чем и оформил карту на сайте банка"
87,"17.10 позвонила в совком 8(985)491*** попросила сделать пролонгацию СЖ, при переводе на профильного сотрудника мне не ответили, поэтому составили обращение и мне должны били перезвонить, ждала сутки 18.10 звоню опять, якобы обращение было..."
88,Обратился в онлайн чат банка в 11-17
89,Ситуация такая: 16 июля в не банковский день через мобильное приложение была попытка отправить платёж  по реквизитам посредством платёжного поручения
90,Второй год подряд проблема с получением справки для госслужащего
91,Сегодня 13.06.22 пытался снять евро в банкоматах Москвы и области Тинькофф
92,Кратко: банк не начислил проценты за размещение денежных средств на накопительном счёте
93,"Долго удивлялся очень хорошему курсу обмена в мобильном банке, завёл накопительный счёт в долларах.."
94,"Обратилась в офис Сбербанка 15.08.2022 для того,чтобы мне разморозили счет,процедура банкротства завершилась 28.07.2022.Обратилась в отделение г.Ростов-на-Дону ул.Волкова 9Б,окно номер 2.Время обращение около 11 часов утра.Мне сказали,что..."
95,"Мы несколько лет сотрудничаем с банком ВТБ, сейчас с ними работает персональный менеджер К-ик Наталья"
96,"Я заказала 08.09.2022 сертификат Магнит Косметик на 500 рублей по программе ""Мультибонус"" от ВТБ"
97,"Всем привет!  1.Начну с поддержки пакета Premium: это фикция! Поддержка там оперативная только моральная: да, перед вами извиняться, да, вас выслушают"
98,"Позвонила в банк за поддержкой, сначала объяснила одному сотруднику, который вообще меня не поняла, перенаправила меня к другому, тот тоже развел руками ссылаясь на закон «о банковской тайне», а теперь, внимание, карта банка использовалась в..."
99,Делала крупную покупку 2 частями в магазине партнере
100,Пользуюсь услугами данного банка нечасто
101,26.02 у меня произошло двойное списание денежных средств после заправки на Газпромнефть
102,Мой квест начался 19 апреля
103,"Не дозвониться на горячую линию! Сначала все операторы заняты, ждёшь ответа оператора, потом и вовсе сбрасывают звонок"
104,Прошу руководство Тинькофф банка произвести награждение сотрудницы горячей линии и выразить ей глубокую благодарность клиента банка
105,"Получил информацию о возможности компенсации прохода в бизнес-зал после отключения PRiority, но не внимательно изучил полные требования и условия, и сделал не совсем так, как предписано, т.к"
106,"Выражает благодарность за оперативное открытие расчетного счета и проведения консультаций - менеджеру дополнительного офиса РОСТОВСКИЙ ПАО ""МТС-банк"" С-ой Екатерине"
107,"Летом открыла счет с дебетовой картой в УБРиР, и всё вроде бы ничего (в данном случае цель оправдывала неудовлетворенность некоторыми сторонами взаимодействия с банком - в целом я была скорее довольна), пока не случились проблемы с платежами"
108,Имели опыт ипотеки в этом банке
109,"Ежедневно названивает по 20-30 номеров,каждый номер в нет контакте подписан  ""Почта банк коллекторы"""
110,29 октября положили деньги через банкомат №398920 в районе 21:00
111,"Всегда очень любила Сбербанк, но в последнее время разочарована"
112,Таких проблем с перевыпуском карты я ещё не встречал
113,"Зашел в городе Давлеканово в местное отделение Уралсиба выяснить почему с меня удерживают лишние деньги, берут два раза в месяц за обслуживание банковского счета, берут деньги за перечисление денег в налоговую"
114,"21 декабря, друг прислал Реферальную ссылку"
115,"Здравствуйте, Некоторые разделы приложения банка не работают в течение длительного времени - в частности кэшбэк за покупки, и мне представляется само приложение работает не правильно - не учитывает квалифицированные покупки"
116,"Все круто, я уже несколько лет в Тиньков банке, банк просто круть, и бонусы и реальный кешбек.Сейчас думаю подключить Вашу систему ТиньковпроЯ в принципе и знакомым всем советую, и супруга потихоньку на Тиньков переходит, родители также перешли на..."
117,Ситуация следующая
118,Добрый день! Хочу поделиться впечатлениями о моем визите в отделение МТС Банка в г
119,"https://i.ibb.co/G2r4GW7/w-UHi-ZHCE4k-Q.jpg Клиентом данного банка не являюсь, но столкнулся с ним в связи с взысканием в нашу (мою и супруги) пользу по выигранному делу против застройщика"
120,"Здравствуйте! Сказать, что я в шоке- ничего не сказать"
121,"Здравствуйте! Все началось не очень круто, но все хорошо, что хорошо кончается"
122,"обращение 25710361, не мог оплачивать пластиковой картой в магазине, проблему решили быстро, большое спасибо сотрудникам тех.поддержки Юмани! Всем рекомендую Юмани и всех благ! По вашей карте 2155 была зафиксирована подозрительная активность..."
123,"Мы с мужем являемся клиентами банка ВТБ.В этом банке у нас ипотека.Платим вовремя ,без просрочек.Подключили в Сбере услугу об изменениях в кредитной истории.Так вот,банк ВТБ каждый месяц регулярно запрашивает наши кредитные истории.Звонила уже..."
124,Всем доброго времени суток
125,"До сегодняшнего утра 31.03.2022 г был лучшего мнения о Сбербанке! Если вкратце, как выяснилось из ответа - Банку нет разницы если у клиента был изменён адрес регистрации! Ссылаясь на то что изменений не было обнаружено, хотя я снимал большие суммы..."
126,25 февраля 2022г хотел снять деньги со счета и вклада
127,"Мой счет перевели из ВТБ в Альфу в рамках каких-то внутренних договоренностей и это очень печально, т.к"
128,"Здравствуйте, 26.10.21 года подал в ваш банк заявление от взаимодействия с третьими лицами"
129,"Долго выбирал автомобиль и банк, где можно оформить автокредит"
130,"В понедельник 12 сентября поехал в отделение Ак Барс банка в ТРК Тандем, чтобы досрочно погасить ипотеку на большую сумму"
131,"Добрый день! Хочу поблагодарить сотрудника банка за понимание, умение войти в положение клиента и своевременно ему помочь"
132,Обратился в Россельхозбанк ДО 1326 г
133,Несколько лет имею дело с Тинькофф
134,"Пару слов о банке #Тинькофф, а именно о его сервисах"
135,"Около месяца назад нужно было сделать покупку на 200 000 руб, подумал о кэшбеке, изучил предложения, в Альфа банке получалось 2%, мало, но хоть чуть-чуть отбить сумму хотелось"
136,Всем Здравствуйте! Вот такой случай произошел у нас с банком
137,Ну что сказать этот банк регулярно убирает плюшки на этот раз убрали из сервисов кино и Культура с моего города
138,"В сентябре 2021 не посчастливилось открыть в РСХБ специальный счет ЭСКРОУ для сделки по покупке недвижимости, счет открыла в Москве и счастливо уехала домой в СПб"
139,"Около года назад я стал премиальным клиентом Открытия, так как условия программы были просто отличные - 3% кешбек на все покупки, 12 проходов в бизнес-залы в год, страхование путешественника и т.п"
140,"Добрый день! 18.12.2021 за бонусы Спасибо были куплены лотерейные билеты (""Русское лото"") в кол-ве 10 шт"
141,"До настоящего времени, не можем возвратить денежные средства моего доверенного лица, которому отказали в повышении лимита снять наличных"
142,"Цель этого отзыва - предупредить о возможных проблемах с ВТБ в случае, если когда-то раньше вам не посчастливилось быть клиентом банка"
143,Вечер добрый! Меня угораздило вляпаться в Экспобанк и открыть там вклад
144,14 октября 2021г
145,1.02.2022 в офис по адресу г
146,"К сожалению, уже пять дней невозможно открыть счет ""Ренкопилка"""
147,"Добрый времени суток! Прошу официально об’яснить почему мне дали не 4 месяца бесплатного обслуживания счёта, а всего 2 месяца! Хотя в акции написано при открытии ИП через Тинькофф, выдаёте до 4х месяцев бесплатного ведения счёта! Поделился..."
148,Не могу снова не отметить замечательную работу группы поддержки Тинька
149,"19.10.2021 - Через личный кабинет в Интернет-банке был открыт ВПЕРВЫЕ(это важное условие акции) Накопительный счет «Промо» по ставке 7,5%"
150,"Привет Банки.ру, пишу отзыв о самом худшем банке, с которым мне когда-либо приходилось сотрудничать! Начнем с того, что ранее я брал кредит в Русфинансбанке, который упразднили и в последствии передали мой счет в Росбанк"
151,В начале сентября мною была подана заявка на карту СберKids
152,"Здравствуйте! Опасайтейсь даже подавать заявку на кредит, иначе заимеете минус к своему кредитному максимому у других банков на сумму которую без вашего ведома откроет вам тинкофф"
153,Неделю не работает платная подписка от Сбера
154,"Всем привет! Давно собирался написать отзыв о Тинькофф и вот наконец-то дошли руки!  О Тинькофф Банке я узнал давно, несколько лет назад, друзья, родственники и коллеги все наперебой рассказывали о новом банке, выгодных условиях, кешбэке и всем..."
155,Перестали приходить 3ds-коды авторизации при онлайн-покупках по карте
156,"Задумка хорошая, исполнение отвратительное.Сложилось впечатление, что в Цифре работают вчерашние 9-классники, закончившие бухгалтерские курсы"
157,"Хочу выразить благодарность сотрудникам офиса ВТБ по адресу г.Нижний Новгород, пр.Ленина,111 за профессионализм, а именно - за помощь в устранении ошибки в приложении ВТБ-онлайн (тех ошибка при открытии вклада)"
158,Добрый день! Обратился в колл центр с жалобой на невозможность перевести деньги через СБП
159,"Добрый день всем! Хочу выразить благодарность ХКБ и представителямбанка, работавшим на сайте Banki.ru с 30 марта с 8 часов утра по 31 марта до 9:30"
160,"02.12.2021 я через сайт тинькофф, раздел платежи, оплатил ЖКУ Москвы по карте стороннего банка"
161,"Я уже 1000 раз пожалела, что связалась с этим банком! Никакой клиентоориентированности! Подали заявку на автокредит! Выбрали машину! 3 дня ждали что со мной свяжется специалист и расскажет наши дальнейшие действия! Сначала сказали ждите до 6! Не..."
162,"Я клиент банка уже больше года, но я и не подозревала, как пополнять карту онлайн"
163,"15.09.2022 я внёс на карту МИР, которая по заверению банка ВТБ работает только с рублёвой системой, 1 млн рублей, банк сконвертировал сумму в евро"
164,"Добрый день !банк работает как захочет, деньги зачисляют как левая пятка зачешется (судя по остатку на моем счету).суммы до 4000 рублей"
165,"Я - давний клиент «Альфа-банка», уходила-приходила, в целом, было неплохо, особенно по сравнению с другими банками"
166,"Столкнулась с такой же проблемой при оформлении накопительного счета ""Управляй процентом"" выдавалась бесплатная дебитовая карта для оперирования счётом, что конечно, очень приятно"
167,Всем здравствуйте! Хочу поделиться историей и оставить жалобу на сотрудников call-центра Альфа Банк
168,"Перед поездкой в другую страну совершил себе несколько переводов через Юнистрим с карты Росбанка, чтобы приехать и получить наличные"
169,Моя несовершеннолетняя дочь является наследницей по вкладам в банке Тинькофф
170,"Я, П-ко Елена Е., являюсь должником по исполнительному производству №51****/20/***18-ИП (94****40) от 13.04.2020г."
171,Банк начал слать кучу смс с рекламой своих продуктов
172,"Утром  06.08.22  посетил Сокольническое отделение (г.Москва), открыл там счёт и уточнил также условия по открытию вклада"
173,"Хочу выразить искреннюю благодарность сотруднице Совкомбанка, старшему специалисту Наталье"
174,27.10.2021 в 9:00  в г
175,1
176,"Банкомат съел наличные и не зачислил на счёт! Вносила  наличные на счет, банкомат съел деньги , написал ошибка и выплюнул карту"
177,"Не хотел сюда писать, но видимо других путей достучаться до банка практически нет"
178,"Банкоматы к Калининграде не работают, выдают ""ошибка операции"""
179,"ужасное обращение,ужасный сотрудник.по телефону б-ий а.с"
180,"Регистрировалась по ссылке друга, в обещанный период баллы не пришли"
181,"Добрый день! Вот не сталкивалась особо со Сбером, видимо, ангел-хранитель сильный"
182,Обратился в отделение МКБ в г
183,"Бланк - довольно молодой сервис, но не уступает “китам”"
184,"Являюсь клиентом ""Тинькофф Банка"" полтора года, и с уверенностью могу сказать, что если это и не самый, то один из самых клиентоориентированных банков однозначно"
185,"Банк не первый раз названивает с угрозами и в грубой форме требует передать какие-то данные, информацию разным неизвестным мне лицам"
186,Добрый день! Хочу выразить благодарность отделению банка в городе Сочи на карла маркса 20
187,"Соседка, при оформлении кредита, указала телефон моей матери (81 год) как контактный"
188,Я с 2016 года являюсь участником программы привелегия
189,"Оформила дебетовую карту банка по акции с косметикой Letique, начисление кешбека до 1500р"
190,"Получала карту 23 марта, доставку осуществляла Елизавета Е-на М"
191,"Все меньше остается наших компаний, которые продолжают показывать высокий сервис"
192,"Здравствуйте! Такая ситуация, являюсь клиентом Тинькофф уже очень продолжительное время (9 лет) и всегда всем рекомендовал"
193,Привет банку Тинькофф и отдельная благодарность за отличную работу менеджеру по работе с юридическими лицами Е-ой Людмиле 
194,Всем здравствуйте! Хочу поделиться опытом пользования подпиской СберПрайм
195,Обращался по поводу кешбека за бронирование отелей
196,Крайне негативное впечатление от УБРиР
197,"9.09.22 снимал деньги в офисе Привилегия в г.Н.Новгород, ул.М.Горького,152"
198,"28 мая я оплатил через приложение коммунальные платежи за свет и газ.Понадобились квитанции об оплате, но распечатать я их не смог"
199,Являюсь клиентом этого банка с 2016 года и вроде все устраивало
200,Ипотечный договор №634/4250-0****39 от 27.04.2021 г
201,"05.07.2022, Я посетил ДО ЦИК «Павелецкий» Банка ВТБ (ПАО) Мне хотелось открыть в банке дебетовую карту МИР, Открыть депозит и возможно подключить ВТБ Онлайн, чтобы следить за счетом и балансом дебетовой карты"
202,"«К сожалению, по результатам комплексной проверки по счету физического лица ограничено дистанционное обслуживание, возобновляться оно не будет.» - такое сообщение я получил от Тинокофф"
203,в конце ноября получила от банка СМС с предложением поучаствовать в акции
204,Салоном Рольф было предложено два банка с более-менее приемлемой процентной ставкой по автокредиту
205,"Примерно 3 года назад оформил дебетовую карту Tinkoff Black, по началу не пользовался"
206,Я не являюсь клиентом этого банка
207,"В 2021 году открыла ИП, расчетный счет выбрала открыть в Делобанке, потому что у брата там же открыт счет, и он доволен"
208,"Являюсь клиентом нескольких банков, но из-за желания покупателей сделку купли-продажи недвижимости проводил через эту кредитную организацию, в одном из отделений в Москве, на Никулинской, 25"
209,"В рамках базового пакета банковских услуг ""Коробка"" нужна была карта Ак Барс банка с 10% годовых на минимальный остаток в диапазоне от 30 000 ₽ до 100 000 ₽"
210,"Обращался в службу поддержки Тинькофф, так мне понадобилось 2 документа на английском языке (bank reference; движение по счету)"
211,"Хорошее приложение, удобное"
212,Я очень давно являюсь клиентом Тинькофф банка
213,"22 декабря приобрел на сайте Сбера за Спасибо промокод на покупку 10 лотерейных билетов Русского Лото , розыгрыш которого состоится 1 января"
214,Доброго времени суток
215,"Добрый день!  Необходимо было открыть зарплатную карту в Альфа банке, сидя в офисе заранее уточнила про обслуживание и платные услуги, мне сообщили что списаний никаких не будет"
216,Хочу проконсультироваться по услугам банка
217,"Добрый день, Пользовался услугами банка, был счет и брокерское обслуживание"
218,Пару недель назад не мог зайти в ИБ
219,19.06.22 Устанавливал на чистую приложение Халва-Совкомбанк на смартфон
220,Худший банк из всех возможных обманывают на каждом шагу скрывают дополнительные услуги и страховки чтобы их отключить надо пройти очень большой путь меня обманули добавили кучу дополнительных услуг и страхование хотя изначально несколько раз...
221,Не советую данный банк
222,Обслуживаюсь в банке более 10 лет
223,"Клиентом Авангарда я числюсь лет, пожалуй, 10 или около того"
224,Имели долгие годы счёт рублевый и Евровый в банке ВТБ24
225,Обратился в поддержку Тинькофф банка за выписками по счетам
226,Обратился в банк (по чату) за кредитными каникулами
227,"Осенью 2021 года первый раз пришла в банк «Открытие».С удивлением узнала, что у меня открыт счет! Открыт еще в 2015 году в отделении, находящемся совсем в другом районе"
228,06.12.2021 обратился в офис по адресу Москва ул
229,"Занимательно, что не плохой банк, отлично пользовался кредитной картой"
230,"09.09.21 подала в банк исполнительный листы, 20.09 по ним пришёл отказ(неверно е название организации должника) Сегодня 15.10,я до сих пор их не получила обратно на руки"
